"","playerId","investment","returns","roundNum","gameNum.f","condition.f","RS_score","LPFS_score","investorState.f","inv_pct","ret_pct_0","next_investment","postTrState","investorState","Joint_State","Next_Joint_State"
"33","3LXHzwgjqdi6ChmBE",10,15,3,"post","Control",15.1111111111111,2.58333333333333,"neutral",0.5,0.5,13,"3","2","2-3","2-3"
"34","3LXHzwgjqdi6ChmBE",13,20,4,"post","Control",15.1111111111111,2.58333333333333,"neutral",0.65,0.512820512820513,18,"3","2","2-3","3-3"
"35","3LXHzwgjqdi6ChmBE",18,27,5,"post","Control",15.1111111111111,2.58333333333333,"happy",0.9,0.5,19,"3","3","3-3","3-3"
"36","3LXHzwgjqdi6ChmBE",19,29,6,"post","Control",15.1111111111111,2.58333333333333,"happy",0.95,0.508771929824561,20,"3","3","3-3","3-3"
"37","3LXHzwgjqdi6ChmBE",20,30,7,"post","Control",15.1111111111111,2.58333333333333,"happy",1,0.5,18,"3","3","3-3","3-3"
"38","3LXHzwgjqdi6ChmBE",18,27,8,"post","Control",15.1111111111111,2.58333333333333,"happy",0.9,0.5,16,"3","3","3-3","3-3"
"39","3LXHzwgjqdi6ChmBE",16,24,9,"post","Control",15.1111111111111,2.58333333333333,"happy",0.8,0.5,14,"3","3","3-3","3-3"
"40","3LXHzwgjqdi6ChmBE",14,21,10,"post","Control",15.1111111111111,2.58333333333333,"happy",0.7,0.5,18,"3","3","3-3","3-3"
"41","3LXHzwgjqdi6ChmBE",18,27,11,"post","Control",15.1111111111111,2.58333333333333,"happy",0.9,0.5,15,"3","3","3-3","3-3"
"42","3LXHzwgjqdi6ChmBE",15,22,12,"post","Control",15.1111111111111,2.58333333333333,"happy",0.75,0.488888888888889,2,"3","3","3-3","3-1"
"43","3LXHzwgjqdi6ChmBE",2,0,13,"post","Control",15.1111111111111,2.58333333333333,"happy",0.1,0,15,"1","3","3-1","3-3"
"44","3LXHzwgjqdi6ChmBE",15,20,14,"post","Control",15.1111111111111,2.58333333333333,"happy",0.75,0.444444444444444,0,"3","3","3-3","1-3"
"45","3LXHzwgjqdi6ChmBE",0,0,15,"post","Control",15.1111111111111,2.58333333333333,"unhappy",0,0,0,"3","1","1-3",NA
"46","3sTSPMb4xsoho9TLr",12,17,1,"post","Control",16.5555555555556,3.41666666666667,"neutral",0.6,0.472222222222222,13,"3","2","2-3","3-3"
"47","3sTSPMb4xsoho9TLr",13,20,2,"post","Control",16.5555555555556,3.41666666666667,"happy",0.65,0.512820512820513,20,"3","3","3-3","3-3"
"48","3sTSPMb4xsoho9TLr",20,30,3,"post","Control",16.5555555555556,3.41666666666667,"happy",1,0.5,20,"3","3","3-3","3-3"
"49","3sTSPMb4xsoho9TLr",20,30,4,"post","Control",16.5555555555556,3.41666666666667,"happy",1,0.5,16,"3","3","3-3","3-3"
"50","3sTSPMb4xsoho9TLr",16,23,5,"post","Control",16.5555555555556,3.41666666666667,"happy",0.8,0.479166666666667,3,"3","3","3-3","1-3"
"51","3sTSPMb4xsoho9TLr",3,4,6,"post","Control",16.5555555555556,3.41666666666667,"unhappy",0.15,0.444444444444444,6,"3","1","1-3","1-3"
"52","3sTSPMb4xsoho9TLr",6,9,7,"post","Control",16.5555555555556,3.41666666666667,"unhappy",0.3,0.5,2,"3","1","1-3","1-3"
"53","3sTSPMb4xsoho9TLr",2,3,8,"post","Control",16.5555555555556,3.41666666666667,"unhappy",0.1,0.5,5,"3","1","1-3","1-3"
"54","3sTSPMb4xsoho9TLr",5,8,9,"post","Control",16.5555555555556,3.41666666666667,"unhappy",0.25,0.533333333333333,4,"3","1","1-3","1-3"
"55","3sTSPMb4xsoho9TLr",4,6,10,"post","Control",16.5555555555556,3.41666666666667,"unhappy",0.2,0.5,4,"3","1","1-3","1-3"
"56","3sTSPMb4xsoho9TLr",4,6,11,"post","Control",16.5555555555556,3.41666666666667,"unhappy",0.2,0.5,5,"3","1","1-3","1-3"
"57","3sTSPMb4xsoho9TLr",5,8,12,"post","Control",16.5555555555556,3.41666666666667,"unhappy",0.25,0.533333333333333,2,"3","1","1-3","1-3"
"58","3sTSPMb4xsoho9TLr",2,3,13,"post","Control",16.5555555555556,3.41666666666667,"unhappy",0.1,0.5,6,"3","1","1-3","1-3"
"59","3sTSPMb4xsoho9TLr",6,9,14,"post","Control",16.5555555555556,3.41666666666667,"unhappy",0.3,0.5,0,"3","1","1-3","1-3"
"60","3sTSPMb4xsoho9TLr",0,0,15,"post","Control",16.5555555555556,3.41666666666667,"unhappy",0,0,0,"3","1","1-3",NA
"61","472H2sA4L7eLRX33z",7,10,1,"post","Control",9.22222222222222,2.08333333333333,"neutral",0.35,0.476190476190476,10,"4","2","2-4","2-4"
"62","472H2sA4L7eLRX33z",10,15,2,"post","Control",9.22222222222222,2.08333333333333,"neutral",0.5,0.5,11,"4","2","2-4","2-4"
"63","472H2sA4L7eLRX33z",11,16,3,"post","Control",9.22222222222222,2.08333333333333,"neutral",0.55,0.484848484848485,6,"4","2","2-4","2-4"
"64","472H2sA4L7eLRX33z",6,9,4,"post","Control",9.22222222222222,2.08333333333333,"neutral",0.3,0.5,9,"4","2","2-4","2-4"
"65","472H2sA4L7eLRX33z",9,14,5,"post","Control",9.22222222222222,2.08333333333333,"neutral",0.45,0.518518518518518,19,"4","2","2-4","3-4"
"66","472H2sA4L7eLRX33z",19,28,6,"post","Control",9.22222222222222,2.08333333333333,"happy",0.95,0.491228070175439,19,"4","3","3-4","3-4"
"67","472H2sA4L7eLRX33z",19,37,7,"post","Control",9.22222222222222,2.08333333333333,"happy",0.95,0.649122807017544,19,"4","3","3-4","3-4"
"68","472H2sA4L7eLRX33z",19,25,8,"post","Control",9.22222222222222,2.08333333333333,"happy",0.95,0.43859649122807,20,"4","3","3-4","3-4"
"69","472H2sA4L7eLRX33z",20,29,9,"post","Control",9.22222222222222,2.08333333333333,"happy",1,0.483333333333333,19,"4","3","3-4","3-4"
"70","472H2sA4L7eLRX33z",19,31,10,"post","Control",9.22222222222222,2.08333333333333,"happy",0.95,0.543859649122807,16,"4","3","3-4","3-4"
"71","472H2sA4L7eLRX33z",16,26,11,"post","Control",9.22222222222222,2.08333333333333,"happy",0.8,0.541666666666667,19,"4","3","3-4","3-4"
