"","playerId","investment","returns","roundNum","gameNum.f","condition.f","LPFS_score","investorState.f","inv_pct","ret_pct_0","RS_score","next_investment","full_ctrst","postTrState","investorState","Joint_State","Next_Joint_State"
"33","3L4Bau2CqJ4NGwJZZ",13,20,3,"pre","Manipulation",1.58333333333333,"neutral",0.65,0.512820512820513,4.33333333333333,4,"0","3","2","2-3","2-3"
"34","3L4Bau2CqJ4NGwJZZ",4,4,4,"pre","Manipulation",1.58333333333333,"neutral",0.2,0.333333333333333,4.33333333333333,7,"0","3","2","2-3","2-3"
"35","3L4Bau2CqJ4NGwJZZ",7,10,5,"pre","Manipulation",1.58333333333333,"neutral",0.35,0.476190476190476,4.33333333333333,12,"0","3","2","2-3","2-1"
"36","3L4Bau2CqJ4NGwJZZ",12,6,6,"pre","Manipulation",1.58333333333333,"neutral",0.6,0.166666666666667,4.33333333333333,17,"0","1","2","2-1","3-1"
"37","3L4Bau2CqJ4NGwJZZ",17,10,7,"pre","Manipulation",1.58333333333333,"happy",0.85,0.196078431372549,4.33333333333333,17,"0","1","3","3-1","3-1"
"38","3L4Bau2CqJ4NGwJZZ",17,0,8,"pre","Manipulation",1.58333333333333,"happy",0.85,0,4.33333333333333,8,"0","1","3","3-1","2-1"
"39","3L4Bau2CqJ4NGwJZZ",8,10,9,"pre","Manipulation",1.58333333333333,"neutral",0.4,0.416666666666667,4.33333333333333,20,"0","1","2","2-1","3-1"
"40","3L4Bau2CqJ4NGwJZZ",20,0,10,"pre","Manipulation",1.58333333333333,"happy",1,0,4.33333333333333,4,"0","1","3","3-1","1-3"
"41","3L4Bau2CqJ4NGwJZZ",4,6,11,"pre","Manipulation",1.58333333333333,"unhappy",0.2,0.5,4.33333333333333,2,"0","3","1","1-3","1-4"
"42","3L4Bau2CqJ4NGwJZZ",2,4,12,"pre","Manipulation",1.58333333333333,"unhappy",0.1,0.666666666666667,4.33333333333333,6,"0","4","1","1-4","1-4"
"43","3L4Bau2CqJ4NGwJZZ",6,8,13,"pre","Manipulation",1.58333333333333,"unhappy",0.3,0.444444444444444,4.33333333333333,3,"0","4","1","1-4","1-4"
